feature,coefficient,abs_coeff
Light,2.670787763743775,2.670787763743775
CO2,0.6078849993681693,0.6078849993681693
HumidityRatio,0.1336658324449937,0.1336658324449937
Humidity,0.03825529332810918,0.03825529332810918
Temperature,-0.00618568536895306,0.00618568536895306
